emoji,code_points,status,name
🥡,1F961                                                  ,fully-qualified,takeout box
🍦,1F366                                                  ,fully-qualified,soft ice cream
🍧,1F367                                                  ,fully-qualified,shaved ice
🍨,1F368                                                  ,fully-qualified,ice cream
🍩,1F369                                                  ,fully-qualified,doughnut
🍪,1F36A                                                  ,fully-qualified,cookie
🎂,1F382                                                  ,fully-qualified,birthday cake
🍰,1F370                                                  ,fully-qualified,shortcake
🧁,1F9C1                                                  ,fully-qualified,cupcake
🥧,1F967                                                  ,fully-qualified,pie
🍫,1F36B                                                  ,fully-qualified,chocolate bar
🍬,1F36C                                                  ,fully-qualified,candy
🍭,1F36D                                                  ,fully-qualified,lollipop
🍮,1F36E                                                  ,fully-qualified,custard
🍯,1F36F                                                  ,fully-qualified,honey pot
🍼,1F37C                                                  ,fully-qualified,baby bottle
🥛,1F95B                                                  ,fully-qualified,glass of milk
☕,2615                                                   ,fully-qualified,hot beverage
🫖,1FAD6                                                  ,fully-qualified,teapot
🍵,1F375                                                  ,fully-qualified,teacup without handle
🍶,1F376                                                  ,fully-qualified,sake
🍾,1F37E                                                  ,fully-qualified,bottle with popping cork
🍷,1F377                                                  ,fully-qualified,wine glass
🍸,1F378                                                  ,fully-qualified,cocktail glass
🍹,1F379                                                  ,fully-qualified,tropical drink
🍺,1F37A                                                  ,fully-qualified,beer mug
🍻,1F37B                                                  ,fully-qualified,clinking beer mugs
🥂,1F942                                                  ,fully-qualified,clinking glasses
🥃,1F943                                                  ,fully-qualified,tumbler glass
🫗,1FAD7                                                  ,fully-qualified,pouring liquid
🥤,1F964                                                  ,fully-qualified,cup with straw
🧋,1F9CB                                                  ,fully-qualified,bubble tea
🧃,1F9C3                                                  ,fully-qualified,beverage box
🧉,1F9C9                                                  ,fully-qualified,mate
🧊,1F9CA                                                  ,fully-qualified,ice
🥢,1F962                                                  ,fully-qualified,chopsticks
🍽️,1F37D FE0F                                             ,fully-qualified,fork and knife with plate
🍽,1F37D                                                  ,unqualified,fork and knife with plate
🍴,1F374                                                  ,fully-qualified,fork and knife
🥄,1F944                                                  ,fully-qualified,spoon
🔪,1F52A                                                  ,fully-qualified,kitchen knife
🫙,1FAD9                                                  ,fully-qualified,jar
🏺,1F3FA                                                  ,fully-qualified,amphora
🌍,1F30D                                                  ,fully-qualified,globe showing Europe-Africa
🌎,1F30E                                                  ,fully-qualified,globe showing Americas
🌏,1F30F                                                  ,fully-qualified,globe showing Asia-Australia
🌐,1F310                                                  ,fully-qualified,globe with meridians
🗺️,1F5FA FE0F                                             ,fully-qualified,world map
🗺,1F5FA                                                  ,unqualified,world map
🗾,1F5FE                                                  ,fully-qualified,map of Japan
🧭,1F9ED                                                  ,fully-qualified,compass
🏔️,1F3D4 FE0F                                             ,fully-qualified,snow-capped mountain
🏔,1F3D4                                                  ,unqualified,snow-capped mountain
⛰️,26F0 FE0F                                              ,fully-qualified,mountain
⛰,26F0                                                   ,unqualified,mountain
🌋,1F30B                                                  ,fully-qualified,volcano
🗻,1F5FB                                                  ,fully-qualified,mount fuji
🏕️,1F3D5 FE0F                                             ,fully-qualified,camping
🏕,1F3D5                                                  ,unqualified,camping
🏖️,1F3D6 FE0F                                             ,fully-qualified,beach with umbrella
🏖,1F3D6                                                  ,unqualified,beach with umbrella
🏜️,1F3DC FE0F                                             ,fully-qualified,desert
🏜,1F3DC                                                  ,unqualified,desert
🏝️,1F3DD FE0F                                             ,fully-qualified,desert island
🏝,1F3DD                                                  ,unqualified,desert island
🏞️,1F3DE FE0F                                             ,fully-qualified,national park
🏞,1F3DE                                                  ,unqualified,national park
🏟️,1F3DF FE0F                                             ,fully-qualified,stadium
🏟,1F3DF                                                  ,unqualified,stadium
🏛️,1F3DB FE0F                                             ,fully-qualified,classical building
🏛,1F3DB                                                  ,unqualified,classical building
🏗️,1F3D7 FE0F                                             ,fully-qualified,building construction
🏗,1F3D7                                                  ,unqualified,building construction
🧱,1F9F1                                                  ,fully-qualified,brick
🪨,1FAA8                                                  ,fully-qualified,rock
🪵,1FAB5                                                  ,fully-qualified,wood
🛖,1F6D6                                                  ,fully-qualified,hut
🏘️,1F3D8 FE0F                                             ,fully-qualified,houses
🏘,1F3D8                                                  ,unqualified,houses
🏚️,1F3DA FE0F                                             ,fully-qualified,derelict house
🏚,1F3DA                                                  ,unqualified,derelict house
🏠,1F3E0                                                  ,fully-qualified,house
🏡,1F3E1                                                  ,fully-qualified,house with garden
🏢,1F3E2                                                  ,fully-qualified,office building
🏣,1F3E3                                                  ,fully-qualified,Japanese post office
🏤,1F3E4                                                  ,fully-qualified,post office
🏥,1F3E5                                                  ,fully-qualified,hospital
🏦,1F3E6                                                  ,fully-qualified,bank
🏨,1F3E8                                                  ,fully-qualified,hotel
🏩,1F3E9                                                  ,fully-qualified,love hotel
🏪,1F3EA                                                  ,fully-qualified,convenience store
🏫,1F3EB                                                  ,fully-qualified,school
🏬,1F3EC                                                  ,fully-qualified,department store
🏭,1F3ED                                                  ,fully-qualified,factory
🏯,1F3EF                                                  ,fully-qualified,Japanese castle
🏰,1F3F0                                                  ,fully-qualified,castle
💒,1F492                                                  ,fully-qualified,wedding
🗼,1F5FC                                                  ,fully-qualified,Tokyo tower
🗽,1F5FD                                                  ,fully-qualified,Statue of Liberty
⛪,26EA                                                   ,fully-qualified,church
🕌,1F54C                                                  ,fully-qualified,mosque
🛕,1F6D5                                                  ,fully-qualified,hindu temple
🕍,1F54D                                                  ,fully-qualified,synagogue
⛩️,26E9 FE0F                                              ,fully-qualified,shinto shrine
⛩,26E9                                                   ,unqualified,shinto shrine
🕋,1F54B                                                  ,fully-qualified,kaaba
⛲,26F2                                                   ,fully-qualified,fountain
⛺,26FA                                                   ,fully-qualified,tent
🌁,1F301                                                  ,fully-qualified,foggy
🌃,1F303                                                  ,fully-qualified,night with stars
🏙️,1F3D9 FE0F                                             ,fully-qualified,cityscape
🏙,1F3D9                                                  ,unqualified,cityscape
🌄,1F304                                                  ,fully-qualified,sunrise over mountains
🌅,1F305                                                  ,fully-qualified,sunrise
🌆,1F306                                                  ,fully-qualified,cityscape at dusk
🌇,1F307                                                  ,fully-qualified,sunset
🌉,1F309                                                  ,fully-qualified,bridge at night
♨️,2668 FE0F                                              ,fully-qualified,hot springs
♨,2668                                                   ,unqualified,hot springs
🎠,1F3A0                                                  ,fully-qualified,carousel horse
🛝,1F6DD                                                  ,fully-qualified,playground slide
🎡,1F3A1                                                  ,fully-qualified,ferris wheel
🎢,1F3A2                                                  ,fully-qualified,roller coaster
💈,1F488                                                  ,fully-qualified,barber pole
🎪,1F3AA                                                  ,fully-qualified,circus tent
🚂,1F682                                                  ,fully-qualified,locomotive
🚃,1F683                                                  ,fully-qualified,railway car
🚄,1F684                                                  ,fully-qualified,high-speed train
🚅,1F685                                                  ,fully-qualified,bullet train
🚆,1F686                                                  ,fully-qualified,train
🚇,1F687                                                  ,fully-qualified,metro
🚈,1F688                                                  ,fully-qualified,light rail
🚉,1F689                                                  ,fully-qualified,station
🚊,1F68A                                                  ,fully-qualified,tram
🚝,1F69D                                                  ,fully-qualified,monorail
🚞,1F69E                                                  ,fully-qualified,mountain railway
🚋,1F68B                                                  ,fully-qualified,tram car
🚌,1F68C                                                  ,fully-qualified,bus
🚍,1F68D                                                  ,fully-qualified,oncoming bus
🚎,1F68E                                                  ,fully-qualified,trolleybus
🚐,1F690                                                  ,fully-qualified,minibus
🚑,1F691                                                  ,fully-qualified,ambulance
🚒,1F692                                                  ,fully-qualified,fire engine
🚓,1F693                                                  ,fully-qualified,police car
🚔,1F694                                                  ,fully-qualified,oncoming police car
🚕,1F695                                                  ,fully-qualified,taxi
🚖,1F696                                                  ,fully-qualified,oncoming taxi
🚗,1F697                                                  ,fully-qualified,automobile
🚘,1F698                                                  ,fully-qualified,oncoming automobile
🚙,1F699                                                  ,fully-qualified,sport utility vehicle
🛻,1F6FB                                                  ,fully-qualified,pickup truck
🚚,1F69A                                                  ,fully-qualified,delivery truck
🚛,1F69B                                                  ,fully-qualified,articulated lorry
🚜,1F69C                                                  ,fully-qualified,tractor
🏎️,1F3CE FE0F                                             ,fully-qualified,racing car
🏎,1F3CE                                                  ,unqualified,racing car
🏍️,1F3CD FE0F                                             ,fully-qualified,motorcycle
🏍,1F3CD                                                  ,unqualified,motorcycle
🛵,1F6F5                                                  ,fully-qualified,motor scooter
🦽,1F9BD                                                  ,fully-qualified,manual wheelchair
🦼,1F9BC                                                  ,fully-qualified,motorized wheelchair
🛺,1F6FA                                                  ,fully-qualified,auto rickshaw
🚲,1F6B2                                                  ,fully-qualified,bicycle
🛴,1F6F4                                                  ,fully-qualified,kick scooter
🛹,1F6F9                                                  ,fully-qualified,skateboard
🛼,1F6FC                                                  ,fully-qualified,roller skate
🚏,1F68F                                                  ,fully-qualified,bus stop
🛣️,1F6E3 FE0F                                             ,fully-qualified,motorway
🛣,1F6E3                                                  ,unqualified,motorway
🛤️,1F6E4 FE0F                                             ,fully-qualified,railway track
🛤,1F6E4                                                  ,unqualified,railway track
🛢️,1F6E2 FE0F                                             ,fully-qualified,oil drum
🛢,1F6E2                                                  ,unqualified,oil drum
⛽,26FD                                                   ,fully-qualified,fuel pump
🛞,1F6DE                                                  ,fully-qualified,wheel
🚨,1F6A8                                                  ,fully-qualified,police car light
🚥,1F6A5                                                  ,fully-qualified,horizontal traffic light
🚦,1F6A6                                                  ,fully-qualified,vertical traffic light
🛑,1F6D1                                                  ,fully-qualified,stop sign
🚧,1F6A7                                                  ,fully-qualified,construction
⚓,2693                                                   ,fully-qualified,anchor
🛟,1F6DF                                                  ,fully-qualified,ring buoy
⛵,26F5                                                   ,fully-qualified,sailboat
🛶,1F6F6                                                  ,fully-qualified,canoe
🚤,1F6A4                                                  ,fully-qualified,speedboat
🛳️,1F6F3 FE0F                                             ,fully-qualified,passenger ship
🛳,1F6F3                                                  ,unqualified,passenger ship
⛴️,26F4 FE0F                                              ,fully-qualified,ferry
⛴,26F4                                                   ,unqualified,ferry
🛥️,1F6E5 FE0F                                             ,fully-qualified,motor boat
🛥,1F6E5                                                  ,unqualified,motor boat
🚢,1F6A2                                                  ,fully-qualified,ship
✈️,2708 FE0F                                              ,fully-qualified,airplane
✈,2708                                                   ,unqualified,airplane
🛩️,1F6E9 FE0F                                             ,fully-qualified,small airplane
🛩,1F6E9                                                  ,unqualified,small airplane
🛫,1F6EB                                                  ,fully-qualified,airplane departure
🛬,1F6EC                                                  ,fully-qualified,airplane arrival
🪂,1FA82                                                  ,fully-qualified,parachute
💺,1F4BA                                                  ,fully-qualified,seat
🚁,1F681                                                  ,fully-qualified,helicopter
🚟,1F69F                                                  ,fully-qualified,suspension railway
🚠,1F6A0                                                  ,fully-qualified,mountain cableway
🚡,1F6A1                                                  ,fully-qualified,aerial tramway
🛰️,1F6F0 FE0F                                             ,fully-qualified,satellite
🛰,1F6F0                                                  ,unqualified,satellite
🚀,1F680                                                  ,fully-qualified,rocket
🛸,1F6F8                                                  ,fully-qualified,flying saucer
🛎️,1F6CE FE0F                                             ,fully-qualified,bellhop bell
🛎,1F6CE                                                  ,unqualified,bellhop bell
🧳,1F9F3                                                  ,fully-qualified,luggage
⌛,231B                                                   ,fully-qualified,hourglass done
⏳,23F3                                                   ,fully-qualified,hourglass not done
⌚,231A                                                   ,fully-qualified,watch
⏰,23F0                                                   ,fully-qualified,alarm clock
⏱️,23F1 FE0F                                              ,fully-qualified,stopwatch
⏱,23F1                                                   ,unqualified,stopwatch
⏲️,23F2 FE0F                                              ,fully-qualified,timer clock
⏲,23F2                                                   ,unqualified,timer clock
🕰️,1F570 FE0F                                             ,fully-qualified,mantelpiece clock
🕰,1F570                                                  ,unqualified,mantelpiece clock
🕛,1F55B                                                  ,fully-qualified,twelve o’clock
🕧,1F567                                                  ,fully-qualified,twelve-thirty
🕐,1F550                                                  ,fully-qualified,one o’clock
🕜,1F55C                                                  ,fully-qualified,one-thirty
🕑,1F551                                                  ,fully-qualified,two o’clock
🕝,1F55D                                                  ,fully-qualified,two-thirty
🕒,1F552                                                  ,fully-qualified,three o’clock
🕞,1F55E                                                  ,fully-qualified,three-thirty
🕓,1F553                                                  ,fully-qualified,four o’clock
🕟,1F55F                                                  ,fully-qualified,four-thirty
🕔,1F554                                                  ,fully-qualified,five o’clock
🕠,1F560                                                  ,fully-qualified,five-thirty
🕕,1F555                                                  ,fully-qualified,six o’clock
🕡,1F561                                                  ,fully-qualified,six-thirty
🕖,1F556                                                  ,fully-qualified,seven o’clock
🕢,1F562                                                  ,fully-qualified,seven-thirty
🕗,1F557                                                  ,fully-qualified,eight o’clock
🕣,1F563                                                  ,fully-qualified,eight-thirty
🕘,1F558                                                  ,fully-qualified,nine o’clock
🕤,1F564                                                  ,fully-qualified,nine-thirty
🕙,1F559                                                  ,fully-qualified,ten o’clock
🕥,1F565                                                  ,fully-qualified,ten-thirty
🕚,1F55A                                                  ,fully-qualified,eleven o’clock
🕦,1F566                                                  ,fully-qualified,eleven-thirty
🌑,1F311                                                  ,fully-qualified,new moon
🌒,1F312                                                  ,fully-qualified,waxing crescent moon
🌓,1F313                                                  ,fully-qualified,first quarter moon
🌔,1F314                                                  ,fully-qualified,waxing gibbous moon
🌕,1F315                                                  ,fully-qualified,full moon
🌖,1F316                                                  ,fully-qualified,waning gibbous moon
🌗,1F317                                                  ,fully-qualified,last quarter moon
🌘,1F318                                                  ,fully-qualified,waning crescent moon
🌙,1F319                                                  ,fully-qualified,crescent moon
🌚,1F31A                                                  ,fully-qualified,new moon face
🌛,1F31B                                                  ,fully-qualified,first quarter moon face
🌜,1F31C                                                  ,fully-qualified,last quarter moon face
🌡️,1F321 FE0F                                             ,fully-qualified,thermometer
🌡,1F321                                                  ,unqualified,thermometer
☀️,2600 FE0F                                              ,fully-qualified,sun
☀,2600                                                   ,unqualified,sun
🌝,1F31D                                                  ,fully-qualified,full moon face
🌞,1F31E                                                  ,fully-qualified,sun with face
🪐,1FA90                                                  ,fully-qualified,ringed planet
⭐,2B50                                                   ,fully-qualified,star
🌟,1F31F                                                  ,fully-qualified,glowing star
🌠,1F320                                                  ,fully-qualified,shooting star
🌌,1F30C                                                  ,fully-qualified,milky way
☁️,2601 FE0F                                              ,fully-qualified,cloud
☁,2601                                                   ,unqualified,cloud
⛅,26C5                                                   ,fully-qualified,sun behind cloud
⛈️,26C8 FE0F                                              ,fully-qualified,cloud with lightning and rain
⛈,26C8                                                   ,unqualified,cloud with lightning and rain
🌤️,1F324 FE0F                                             ,fully-qualified,sun behind small cloud
🌤,1F324                                                  ,unqualified,sun behind small cloud
🌥️,1F325 FE0F                                             ,fully-qualified,sun behind large cloud
🌥,1F325                                                  ,unqualified,sun behind large cloud
🌦️,1F326 FE0F                                             ,fully-qualified,sun behind rain cloud
🌦,1F326                                                  ,unqualified,sun behind rain cloud
🌧️,1F327 FE0F                                             ,fully-qualified,cloud with rain
🌧,1F327                                                  ,unqualified,cloud with rain
🌨️,1F328 FE0F                                             ,fully-qualified,cloud with snow
🌨,1F328                                                  ,unqualified,cloud with snow
🌩️,1F329 FE0F                                             ,fully-qualified,cloud with lightning
🌩,1F329                                                  ,unqualified,cloud with lightning
🌪️,1F32A FE0F                                             ,fully-qualified,tornado
🌪,1F32A                                                  ,unqualified,tornado
🌫️,1F32B FE0F                                             ,fully-qualified,fog
🌫,1F32B                                                  ,unqualified,fog
🌬️,1F32C FE0F                                             ,fully-qualified,wind face
🌬,1F32C                                                  ,unqualified,wind face
🌀,1F300                                                  ,fully-qualified,cyclone
🌈,1F308                                                  ,fully-qualified,rainbow
🌂,1F302                                                  ,fully-qualified,closed umbrella
☂️,2602 FE0F                                              ,fully-qualified,umbrella
☂,2602                                                   ,unqualified,umbrella
☔,2614                                                   ,fully-qualified,umbrella with rain drops
⛱️,26F1 FE0F                                              ,fully-qualified,umbrella on ground
⛱,26F1                                                   ,unqualified,umbrella on ground
⚡,26A1                                                   ,fully-qualified,high voltage
❄️,2744 FE0F                                              ,fully-qualified,snowflake
❄,2744                                                   ,unqualified,snowflake
☃️,2603 FE0F                                              ,fully-qualified,snowman
☃,2603                                                   ,unqualified,snowman
⛄,26C4                                                   ,fully-qualified,snowman without snow
☄️,2604 FE0F                                              ,fully-qualified,comet
☄,2604                                                   ,unqualified,comet
🔥,1F525                                                  ,fully-qualified,fire
💧,1F4A7                                                  ,fully-qualified,droplet
🌊,1F30A                                                  ,fully-qualified,water wave
🎃,1F383                                                  ,fully-qualified,jack-o-lantern
🎄,1F384                                                  ,fully-qualified,Christmas tree
🎆,1F386                                                  ,fully-qualified,fireworks
🎇,1F387                                                  ,fully-qualified,sparkler
🧨,1F9E8                                                  ,fully-qualified,firecracker
✨,2728                                                   ,fully-qualified,sparkles
🎈,1F388                                                  ,fully-qualified,balloon
🎉,1F389                                                  ,fully-qualified,party popper
🎊,1F38A                                                  ,fully-qualified,confetti ball
🎋,1F38B                                                  ,fully-qualified,tanabata tree
🎍,1F38D                                                  ,fully-qualified,pine decoration
🎎,1F38E                                                  ,fully-qualified,Japanese dolls
🎏,1F38F                                                  ,fully-qualified,carp streamer
🎐,1F390                                                  ,fully-qualified,wind chime
🎑,1F391                                                  ,fully-qualified,moon viewing ceremony
🧧,1F9E7                                                  ,fully-qualified,red envelope
🎀,1F380                                                  ,fully-qualified,ribbon
🎁,1F381                                                  ,fully-qualified,wrapped gift
🎗️,1F397 FE0F                                             ,fully-qualified,reminder ribbon
🎗,1F397                                                  ,unqualified,reminder ribbon
🎟️,1F39F FE0F                                             ,fully-qualified,admission tickets
🎟,1F39F                                                  ,unqualified,admission tickets
🎫,1F3AB                                                  ,fully-qualified,ticket
🎖️,1F396 FE0F                                             ,fully-qualified,military medal
🎖,1F396                                                  ,unqualified,military medal
🏆,1F3C6                                                  ,fully-qualified,trophy
🏅,1F3C5                                                  ,fully-qualified,sports medal
🥇,1F947                                                  ,fully-qualified,1st place medal
🥈,1F948                                                  ,fully-qualified,2nd place medal
🥉,1F949                                                  ,fully-qualified,3rd place medal
⚽,26BD                                                   ,fully-qualified,soccer ball
⚾,26BE                                                   ,fully-qualified,baseball
🥎,1F94E                                                  ,fully-qualified,softball
🏀,1F3C0                                                  ,fully-qualified,basketball
🏐,1F3D0                                                  ,fully-qualified,volleyball
🏈,1F3C8                                                  ,fully-qualified,american football
🏉,1F3C9                                                  ,fully-qualified,rugby football
🎾,1F3BE                                                  ,fully-qualified,tennis
🥏,1F94F                                                  ,fully-qualified,flying disc
🎳,1F3B3                                                  ,fully-qualified,bowling
🏏,1F3CF                                                  ,fully-qualified,cricket game
🏑,1F3D1                                                  ,fully-qualified,field hockey
🏒,1F3D2                                                  ,fully-qualified,ice hockey
🥍,1F94D                                                  ,fully-qualified,lacrosse
🏓,1F3D3                                                  ,fully-qualified,ping pong
🏸,1F3F8                                                  ,fully-qualified,badminton
🥊,1F94A                                                  ,fully-qualified,boxing glove
🥋,1F94B                                                  ,fully-qualified,martial arts uniform
🥅,1F945                                                  ,fully-qualified,goal net
⛳,26F3                                                   ,fully-qualified,flag in hole
⛸️,26F8 FE0F                                              ,fully-qualified,ice skate
⛸,26F8                                                   ,unqualified,ice skate
🎣,1F3A3                                                  ,fully-qualified,fishing pole
🤿,1F93F                                                  ,fully-qualified,diving mask
🎽,1F3BD                                                  ,fully-qualified,running shirt
🎿,1F3BF                                                  ,fully-qualified,skis
🛷,1F6F7                                                  ,fully-qualified,sled
🥌,1F94C                                                  ,fully-qualified,curling stone
🎯,1F3AF                                                  ,fully-qualified,bullseye
🪀,1FA80                                                  ,fully-qualified,yo-yo
🪁,1FA81                                                  ,fully-qualified,kite
🔫,1F52B                                                  ,fully-qualified,water pistol
🎱,1F3B1                                                  ,fully-qualified,pool 8 ball
🔮,1F52E                                                  ,fully-qualified,crystal ball
🪄,1FA84                                                  ,fully-qualified,magic wand
🎮,1F3AE                                                  ,fully-qualified,video game
🕹️,1F579 FE0F                                             ,fully-qualified,joystick
🕹,1F579                                                  ,unqualified,joystick
🎰,1F3B0                                                  ,fully-qualified,slot machine
🎲,1F3B2                                                  ,fully-qualified,game die
🧩,1F9E9                                                  ,fully-qualified,puzzle piece
🧸,1F9F8                                                  ,fully-qualified,teddy bear
🪅,1FA85                                                  ,fully-qualified,piñata
🪩,1FAA9                                                  ,fully-qualified,mirror ball
🪆,1FA86                                                  ,fully-qualified,nesting dolls
♠️,2660 FE0F                                              ,fully-qualified,spade suit
♠,2660                                                   ,unqualified,spade suit
♥️,2665 FE0F                                              ,fully-qualified,heart suit
♥,2665                                                   ,unqualified,heart suit
♦️,2666 FE0F                                              ,fully-qualified,diamond suit
♦,2666                                                   ,unqualified,diamond suit
♣️,2663 FE0F                                              ,fully-qualified,club suit
♣,2663                                                   ,unqualified,club suit
♟️,265F FE0F                                              ,fully-qualified,chess pawn
♟,265F                                                   ,unqualified,chess pawn
🃏,1F0CF                                                  ,fully-qualified,joker
🀄,1F004                                                  ,fully-qualified,mahjong red dragon
🎴,1F3B4                                                  ,fully-qualified,flower playing cards
🎭,1F3AD                                                  ,fully-qualified,performing arts
🖼️,1F5BC FE0F                                             ,fully-qualified,framed picture
🖼,1F5BC                                                  ,unqualified,framed picture
🎨,1F3A8                                                  ,fully-qualified,artist palette
🧵,1F9F5                                                  ,fully-qualified,thread
🪡,1FAA1                                                  ,fully-qualified,sewing needle
🧶,1F9F6                                                  ,fully-qualified,yarn
🪢,1FAA2                                                  ,fully-qualified,knot
👓,1F453                                                  ,fully-qualified,glasses
🕶️,1F576 FE0F                                             ,fully-qualified,sunglasses
🕶,1F576                                                  ,unqualified,sunglasses
🥽,1F97D                                                  ,fully-qualified,goggles
🥼,1F97C                                                  ,fully-qualified,lab coat
🦺,1F9BA                                                  ,fully-qualified,safety vest
👔,1F454                                                  ,fully-qualified,necktie
👕,1F455                                                  ,fully-qualified,t-shirt
👖,1F456                                                  ,fully-qualified,jeans
🧣,1F9E3                                                  ,fully-qualified,scarf
🧤,1F9E4                                                  ,fully-qualified,gloves
🧥,1F9E5                                                  ,fully-qualified,coat
🧦,1F9E6                                                  ,fully-qualified,socks
👗,1F457                                                  ,fully-qualified,dress
👘,1F458                                                  ,fully-qualified,kimono
🥻,1F97B                                                  ,fully-qualified,sari
🩱,1FA71                                                  ,fully-qualified,one-piece swimsuit
🩲,1FA72                                                  ,fully-qualified,briefs
🩳,1FA73                                                  ,fully-qualified,shorts
👙,1F459                                                  ,fully-qualified,bikini
👚,1F45A                                                  ,fully-qualified,woman’s clothes
🪭,1FAAD                                                  ,fully-qualified,folding hand fan
👛,1F45B                                                  ,fully-qualified,purse
👜,1F45C                                                  ,fully-qualified,handbag
👝,1F45D                                                  ,fully-qualified,clutch bag
🛍️,1F6CD FE0F                                             ,fully-qualified,shopping bags
🛍,1F6CD                                                  ,unqualified,shopping bags
🎒,1F392                                                  ,fully-qualified,backpack
🩴,1FA74                                                  ,fully-qualified,thong sandal
👞,1F45E                                                  ,fully-qualified,man’s shoe
👟,1F45F                                                  ,fully-qualified,running shoe
🥾,1F97E                                                  ,fully-qualified,hiking boot
🥿,1F97F                                                  ,fully-qualified,flat shoe
👠,1F460                                                  ,fully-qualified,high-heeled shoe
👡,1F461                                                  ,fully-qualified,woman’s sandal
🩰,1FA70                                                  ,fully-qualified,ballet shoes
👢,1F462                                                  ,fully-qualified,woman’s boot
🪮,1FAAE                                                  ,fully-qualified,hair pick
👑,1F451                                                  ,fully-qualified,crown
👒,1F452                                                  ,fully-qualified,woman’s hat
🎩,1F3A9                                                  ,fully-qualified,top hat
🎓,1F393                                                  ,fully-qualified,graduation cap
🧢,1F9E2                                                  ,fully-qualified,billed cap
🪖,1FA96                                                  ,fully-qualified,military helmet
⛑️,26D1 FE0F                                              ,fully-qualified,rescue worker’s helmet
⛑,26D1                                                   ,unqualified,rescue worker’s helmet
📿,1F4FF                                                  ,fully-qualified,prayer beads
💄,1F484                                                  ,fully-qualified,lipstick
💍,1F48D                                                  ,fully-qualified,ring
💎,1F48E                                                  ,fully-qualified,gem stone
🔇,1F507                                                  ,fully-qualified,muted speaker
🔈,1F508                                                  ,fully-qualified,speaker low volume
🔉,1F509                                                  ,fully-qualified,speaker medium volume
🔊,1F50A                                                  ,fully-qualified,speaker high volume
📢,1F4E2                                                  ,fully-qualified,loudspeaker
📣,1F4E3                                                  ,fully-qualified,megaphone
📯,1F4EF                                                  ,fully-qualified,postal horn
🔔,1F514                                                  ,fully-qualified,bell
🔕,1F515                                                  ,fully-qualified,bell with slash
🎼,1F3BC                                                  ,fully-qualified,musical score
🎵,1F3B5                                                  ,fully-qualified,musical note
🎶,1F3B6                                                  ,fully-qualified,musical notes
🎙️,1F399 FE0F                                             ,fully-qualified,studio microphone
🎙,1F399                                                  ,unqualified,studio microphone
🎚️,1F39A FE0F                                             ,fully-qualified,level slider
🎚,1F39A                                                  ,unqualified,level slider
🎛️,1F39B FE0F                                             ,fully-qualified,control knobs
🎛,1F39B                                                  ,unqualified,control knobs
🎤,1F3A4                                                  ,fully-qualified,microphone
🎧,1F3A7                                                  ,fully-qualified,headphone
📻,1F4FB                                                  ,fully-qualified,radio
🎷,1F3B7                                                  ,fully-qualified,saxophone
🪗,1FA97                                                  ,fully-qualified,accordion
🎸,1F3B8                                                  ,fully-qualified,guitar
🎹,1F3B9                                                  ,fully-qualified,musical keyboard
🎺,1F3BA                                                  ,fully-qualified,trumpet
🎻,1F3BB                                                  ,fully-qualified,violin
🪕,1FA95                                                  ,fully-qualified,banjo
🥁,1F941                                                  ,fully-qualified,drum
🪘,1FA98                                                  ,fully-qualified,long drum
🪇,1FA87                                                  ,fully-qualified,maracas
🪈,1FA88                                                  ,fully-qualified,flute
🪉,1FA89                                                  ,fully-qualified,harp
📱,1F4F1                                                  ,fully-qualified,mobile phone
📲,1F4F2                                                  ,fully-qualified,mobile phone with arrow
☎️,260E FE0F                                              ,fully-qualified,telephone
☎,260E                                                   ,unqualified,telephone
📞,1F4DE                                                  ,fully-qualified,telephone receiver
📟,1F4DF                                                  ,fully-qualified,pager
📠,1F4E0                                                  ,fully-qualified,fax machine
🔋,1F50B                                                  ,fully-qualified,battery
🪫,1FAAB                                                  ,fully-qualified,low battery
🔌,1F50C                                                  ,fully-qualified,electric plug
💻,1F4BB                                                  ,fully-qualified,laptop
🖥️,1F5A5 FE0F                                             ,fully-qualified,desktop computer
🖥,1F5A5                                                  ,unqualified,desktop computer
🖨️,1F5A8 FE0F                                             ,fully-qualified,printer
🖨,1F5A8                                                  ,unqualified,printer
⌨️,2328 FE0F                                              ,fully-qualified,keyboard
⌨,2328                                                   ,unqualified,keyboard
