emoji,code_points,status,name
👨🏽‍🦲,1F468 1F3FD 200D 1F9B2                                 ,fully-qualified,"man: medium skin tone, bald"
👨🏾‍🦲,1F468 1F3FE 200D 1F9B2                                 ,fully-qualified,"man: medium-dark skin tone, bald"
👨🏿‍🦲,1F468 1F3FF 200D 1F9B2                                 ,fully-qualified,"man: dark skin tone, bald"
👩,1F469                                                  ,fully-qualified,woman
👩🏻,1F469 1F3FB                                            ,fully-qualified,woman: light skin tone
👩🏼,1F469 1F3FC                                            ,fully-qualified,woman: medium-light skin tone
👩🏽,1F469 1F3FD                                            ,fully-qualified,woman: medium skin tone
👩🏾,1F469 1F3FE                                            ,fully-qualified,woman: medium-dark skin tone
👩🏿,1F469 1F3FF                                            ,fully-qualified,woman: dark skin tone
👩‍🦰,1F469 200D 1F9B0                                       ,fully-qualified,woman: red hair
👩🏻‍🦰,1F469 1F3FB 200D 1F9B0                                 ,fully-qualified,"woman: light skin tone, red hair"
👩🏼‍🦰,1F469 1F3FC 200D 1F9B0                                 ,fully-qualified,"woman: medium-light skin tone, red hair"
👩🏽‍🦰,1F469 1F3FD 200D 1F9B0                                 ,fully-qualified,"woman: medium skin tone, red hair"
👩🏾‍🦰,1F469 1F3FE 200D 1F9B0                                 ,fully-qualified,"woman: medium-dark skin tone, red hair"
👩🏿‍🦰,1F469 1F3FF 200D 1F9B0                                 ,fully-qualified,"woman: dark skin tone, red hair"
🧑‍🦰,1F9D1 200D 1F9B0                                       ,fully-qualified,person: red hair
🧑🏻‍🦰,1F9D1 1F3FB 200D 1F9B0                                 ,fully-qualified,"person: light skin tone, red hair"
🧑🏼‍🦰,1F9D1 1F3FC 200D 1F9B0                                 ,fully-qualified,"person: medium-light skin tone, red hair"
🧑🏽‍🦰,1F9D1 1F3FD 200D 1F9B0                                 ,fully-qualified,"person: medium skin tone, red hair"
🧑🏾‍🦰,1F9D1 1F3FE 200D 1F9B0                                 ,fully-qualified,"person: medium-dark skin tone, red hair"
🧑🏿‍🦰,1F9D1 1F3FF 200D 1F9B0                                 ,fully-qualified,"person: dark skin tone, red hair"
👩‍🦱,1F469 200D 1F9B1                                       ,fully-qualified,woman: curly hair
👩🏻‍🦱,1F469 1F3FB 200D 1F9B1                                 ,fully-qualified,"woman: light skin tone, curly hair"
👩🏼‍🦱,1F469 1F3FC 200D 1F9B1                                 ,fully-qualified,"woman: medium-light skin tone, curly hair"
👩🏽‍🦱,1F469 1F3FD 200D 1F9B1                                 ,fully-qualified,"woman: medium skin tone, curly hair"
👩🏾‍🦱,1F469 1F3FE 200D 1F9B1                                 ,fully-qualified,"woman: medium-dark skin tone, curly hair"
👩🏿‍🦱,1F469 1F3FF 200D 1F9B1                                 ,fully-qualified,"woman: dark skin tone, curly hair"
🧑‍🦱,1F9D1 200D 1F9B1                                       ,fully-qualified,person: curly hair
🧑🏻‍🦱,1F9D1 1F3FB 200D 1F9B1                                 ,fully-qualified,"person: light skin tone, curly hair"
🧑🏼‍🦱,1F9D1 1F3FC 200D 1F9B1                                 ,fully-qualified,"person: medium-light skin tone, curly hair"
🧑🏽‍🦱,1F9D1 1F3FD 200D 1F9B1                                 ,fully-qualified,"person: medium skin tone, curly hair"
🧑🏾‍🦱,1F9D1 1F3FE 200D 1F9B1                                 ,fully-qualified,"person: medium-dark skin tone, curly hair"
🧑🏿‍🦱,1F9D1 1F3FF 200D 1F9B1                                 ,fully-qualified,"person: dark skin tone, curly hair"
👩‍🦳,1F469 200D 1F9B3                                       ,fully-qualified,woman: white hair
👩🏻‍🦳,1F469 1F3FB 200D 1F9B3                                 ,fully-qualified,"woman: light skin tone, white hair"
👩🏼‍🦳,1F469 1F3FC 200D 1F9B3                                 ,fully-qualified,"woman: medium-light skin tone, white hair"
👩🏽‍🦳,1F469 1F3FD 200D 1F9B3                                 ,fully-qualified,"woman: medium skin tone, white hair"
👩🏾‍🦳,1F469 1F3FE 200D 1F9B3                                 ,fully-qualified,"woman: medium-dark skin tone, white hair"
👩🏿‍🦳,1F469 1F3FF 200D 1F9B3                                 ,fully-qualified,"woman: dark skin tone, white hair"
🧑‍🦳,1F9D1 200D 1F9B3                                       ,fully-qualified,person: white hair
🧑🏻‍🦳,1F9D1 1F3FB 200D 1F9B3                                 ,fully-qualified,"person: light skin tone, white hair"
🧑🏼‍🦳,1F9D1 1F3FC 200D 1F9B3                                 ,fully-qualified,"person: medium-light skin tone, white hair"
🧑🏽‍🦳,1F9D1 1F3FD 200D 1F9B3                                 ,fully-qualified,"person: medium skin tone, white hair"
🧑🏾‍🦳,1F9D1 1F3FE 200D 1F9B3                                 ,fully-qualified,"person: medium-dark skin tone, white hair"
🧑🏿‍🦳,1F9D1 1F3FF 200D 1F9B3                                 ,fully-qualified,"person: dark skin tone, white hair"
👩‍🦲,1F469 200D 1F9B2                                       ,fully-qualified,woman: bald
👩🏻‍🦲,1F469 1F3FB 200D 1F9B2                                 ,fully-qualified,"woman: light skin tone, bald"
